concurrency round ttfa_p95_ms aggregate_rtf
1 1 2691.5059624 0.4970929574231654
3 1 2720.9323704500002 0.18642366528997328
6 1 2873.4889564500004 0.10235958836397983
1 2 2703.9144577499997 0.4994962250071562
3 2 2814.6345197500004 0.19694153977896892
6 2 3145.8839772 0.11235412483949428
